title,link,no,district,area,price,amount,layout,three
凤林小区南区,https://jn.ke.com/xiaoqu/4511059314854/,4511059314854,市中,万达广场,19799,26,2室2厅:76,False
山东省济南商贸学校宿舍,https://jn.ke.com/xiaoqu/4515121388416169/,4515121388416169,历下,凤山路,15893,14,2室2厅:70.57,False
齐鲁涧桥,https://jn.ke.com/xiaoqu/4520034286634714/,4520034286634714,章丘,章丘市区,8160,40,1室2厅:77.16,False
港澳花园,https://jn.ke.com/xiaoqu/456966517706250/,456966517706250,历下,燕山,24942,8,6室2厅:305,False
齐鲁骏园,https://jn.ke.com/xiaoqu/457424405943227/,457424405943227,市中,七里山,19010,14,3室2厅:152.72,True
姚家东区,https://jn.ke.com/xiaoqu/4511058347557/,4511058347557,历下,姚家,20334,1,2室2厅:70.42,False
龙岱花园小区,https://jn.ke.com/xiaoqu/4511059039349/,4511059039349,历城,全福区,11780,34,4室4厅:152.01,False
济南建苑花园,https://jn.ke.com/xiaoqu/4511060493304/,4511060493304,市中,建设路,16912,19,3室2厅:119.72,True
王官庄小区一区,https://jn.ke.com/xiaoqu/457488483896911/,457488483896911,市中,泉景卧龙区,12969,16,2室1厅:68.18,False
山东省医科院宿舍,https://jn.ke.com/xiaoqu/4513806529688529/,4513806529688529,历下,文化西路,26406,5,3室2厅:130.86,True
顺祥新区,https://jn.ke.com/xiaoqu/4511059523649/,4511059523649,槐荫,西市场,15336,30,2室2厅:80,False
清风河畔,https://jn.ke.com/xiaoqu/4520034635930215/,4520034635930215,历下,奥体中心,21610,11,2室2厅:90,False
历山路98号,https://jn.ke.com/xiaoqu/457513206173540/,457513206173540,历下,历东,26348,13,2室1厅:52.83,False
司里街小区北区,https://jn.ke.com/xiaoqu/4511057842015/,4511057842015,历下,泉城路,36627,5,3室2厅:140,True
汇豪名邸,https://jn.ke.com/xiaoqu/4511058174228/,4511058174228,历下,甸柳,29465,6,3室2厅:100,True
山水泉城,https://jn.ke.com/xiaoqu/457444791571093/,457444791571093,章丘,章丘市区,9586,58,3室2厅:125,True
长盛小区南区二区,https://jn.ke.com/xiaoqu/458052218540948/,458052218540948,历下,东关,18502,56,2室1厅:48.5,False
